iter	Passed	Remaining
0	62	12363
1	108	10759
2	156	10281
3	201	9897
4	249	9721
5	282	9127
6	328	9069
7	393	9449
8	424	9003
9	473	8998
10	550	9458
11	583	9137
12	629	9061
13	676	8983
14	708	8732
15	769	8849
16	800	8615
17	832	8418
18	869	8285
19	893	8045
20	925	7890
21	956	7736
22	991	7630
23	1037	7611
24	1068	7480
25	1114	7457
26	1148	7358
27	1180	7248
28	1225	7226
29	1273	7217
30	1325	7224
31	1367	7179
32	1412	7150
33	1444	7051
34	1491	7029
35	1540	7018
36	1586	6989
37	1634	6968
38	1695	6998
39	1742	6971
40	1777	6892
41	1809	6806
42	1840	6720
43	1889	6698
44	1935	6665
45	1967	6586
46	1999	6507
47	2078	6582
48	2158	6652
49	2182	6546
50	2235	6531
51	2298	6541
52	2346	6508
53	2394	6473
54	2439	6432
55	2486	6393
56	2520	6323
57	2567	6285
58	2614	6247
59	2662	6211
60	2694	6139
61	2738	6096
62	2771	6025
63	2820	5992
64	2852	5925
65	2901	5890
66	2933	5823
67	2980	5786
68	3012	5718
69	3061	5684
70	3106	5643
71	3138	5578
72	3168	5512
73	3215	5475
74	3263	5438
75	3292	5372
76	3323	5309
77	3387	5297
78	3435	5261
79	3465	5197
80	3495	5136
81	3527	5075
82	3575	5039
83	3609	4984
84	3666	4961
85	3717	4927
86	3764	4888
87	3796	4832
88	3828	4774
89	3861	4719
90	3892	4662
91	3924	4607
92	3957	4553
93	4004	4515
94	4036	4461
95	4100	4441
96	4178	4437
97	4209	4381
98	4256	4341
99	4302	4302
100	4333	4248
101	4382	4210
102	4426	4168
103	4459	4116
104	4491	4064
105	4521	4009
106	4568	3970
107	4616	3932
108	4672	3900
109	4709	3853
110	4772	3826
111	4835	3799
112	4867	3747
113	4898	3695
114	4947	3656
115	4987	3611
116	5010	3554
117	5041	3503
118	5073	3453
119	5107	3405
120	5152	3363
121	5183	3314
122	5213	3263
123	5260	3223
124	5307	3184
125	5370	3153
126	5402	3105
127	5448	3064
128	5481	3016
129	5528	2976
130	5559	2928
131	5605	2887
132	5625	2834
133	5668	2792
134	5718	2753
135	5749	2705
136	5770	2653
137	5796	2604
138	5829	2558
139	5876	2518
140	5908	2472
141	5954	2432
142	6019	2399
143	6051	2353
144	6098	2313
145	6130	2267
146	6163	2222
147	6192	2175
148	6239	2135
149	6272	2090
150	6302	2045
151	6350	2005
152	6413	1970
153	6460	1929
154	6508	1889
155	6555	1849
156	6611	1810
157	6635	1763
158	6682	1723
159	6731	1682
160	6776	1641
161	6808	1596
162	6841	1552
163	6888	1512
164	6936	1471
165	6968	1427
166	7019	1387
167	7097	1351
168	7147	1311
169	7188	1268
170	7240	1227
171	7272	1183
172	7304	1140
173	7343	1097
174	7382	1054
175	7430	1013
176	7476	971
177	7524	929
178	7555	886
179	7586	842
180	7632	801
181	7681	759
182	7714	716
183	7744	673
184	7807	633
185	7854	591
186	7901	549
187	7935	506
188	7964	463
189	7997	420
190	8030	378
191	8077	336
192	8110	294
193	8157	252
194	8220	210
195	8253	168
196	8282	126
197	8315	83
198	8345	41
199	8378	0
