iter	Passed	Remaining
0	61	12234
1	92	9185
2	140	9242
3	190	9316
4	251	9810
5	299	9668
6	347	9576
7	376	9027
8	423	8984
9	473	8993
10	504	8665
11	536	8411
12	598	8605
13	646	8591
14	694	8561
15	732	8425
16	774	8334
17	808	8178
18	838	7991
19	884	7961
20	918	7827
21	980	7929
22	1027	7910
23	1059	7771
24	1089	7627
25	1136	7606
26	1168	7490
27	1214	7458
28	1275	7519
29	1321	7490
30	1353	7378
31	1399	7347
32	1448	7330
33	1507	7362
34	1555	7335
35	1601	7297
36	1649	7265
37	1681	7169
38	1715	7081
39	1746	6984
40	1791	6947
41	1825	6865
42	1855	6775
43	1886	6689
44	1918	6609
45	1949	6527
46	2001	6514
47	2044	6475
48	2106	6490
49	2136	6409
50	2183	6378
51	2229	6346
52	2260	6268
53	2307	6238
54	2352	6200
55	2383	6129
56	2414	6058
57	2477	6066
58	2539	6068
59	2585	6033
60	2618	5965
61	2652	5903
62	2695	5862
63	2744	5832
64	2790	5796
65	2823	5731
66	2871	5699
67	2916	5661
68	2951	5602
69	2997	5566
70	3027	5500
71	3059	5439
72	3106	5405
73	3169	5397
74	3229	5382
75	3278	5349
76	3310	5288
77	3359	5254
78	3406	5217
79	3455	5183
80	3516	5166
81	3594	5172
82	3643	5135
83	3706	5119
84	3770	5100
85	3817	5061
86	3869	5025
87	3916	4985
88	3979	4963
89	4027	4922
90	4074	4880
91	4135	4855
92	4166	4794
93	4247	4789
94	4295	4747
95	4358	4721
96	4421	4695
97	4471	4653
98	4518	4609
99	4549	4549
100	4596	4505
101	4644	4462
102	4692	4418
103	4721	4358
104	4770	4316
105	4802	4258
106	4850	4215
107	4897	4172
108	4943	4127
109	5005	4095
110	5052	4051
111	5100	4007
112	5148	3963
113	5192	3917
114	5226	3863
115	5257	3807
116	5289	3752
117	5320	3697
118	5366	3652
119	5427	3618
120	5478	3577
121	5509	3522
122	5542	3469
123	5589	3425
124	5619	3371
125	5666	3327
126	5700	3276
127	5748	3233
128	5780	3181
129	5809	3128
130	5841	3076
131	5888	3033
132	5920	2982
133	5950	2931
134	6000	2889
135	6046	2845
136	6078	2795
137	6125	2752
138	6173	2709
139	6203	2658
140	6254	2617
141	6297	2572
142	6328	2522
143	6348	2468
144	6391	2424
145	6423	2375
146	6455	2327
147	6488	2279
148	6518	2231
149	6565	2188
150	6597	2141
151	6630	2093
152	6693	2056
153	6757	2018
154	6805	1975
155	6855	1933
156	6919	1895
157	6971	1853
158	7028	1812
159	7092	1773
160	7140	1729
161	7202	1689
162	7234	1642
163	7280	1598
164	7327	1554
165	7361	1507
166	7391	1460
167	7454	1419
168	7517	1378
169	7550	1332
170	7596	1288
171	7636	1243
172	7660	1195
173	7694	1149
174	7742	1106
175	7773	1060
176	7853	1020
177	7886	974
178	7918	929
179	7982	886
180	8030	842
181	8062	797
182	8124	754
183	8219	714
184	8310	673
185	8376	630
186	8439	586
187	8517	543
188	8577	499
189	8609	453
190	8662	408
191	8689	362
192	8736	316
193	8781	271
194	8813	225
195	8859	180
196	8924	135
197	8955	90
198	9004	45
199	9051	0
