iter	Passed	Remaining
0	53	10576
1	92	9202
2	125	8227
3	156	7672
4	203	7938
5	260	8426
6	284	7830
7	331	7950
8	392	8340
9	460	8749
10	508	8732
11	571	8950
12	601	8650
13	632	8401
14	679	8378
15	759	8731
16	806	8679
17	853	8631
18	914	8709
19	979	8815
20	1026	8745
21	1091	8832
22	1134	8733
23	1166	8552
24	1228	8602
25	1260	8438
26	1308	8381
27	1355	8327
28	1385	8171
29	1418	8038
30	1466	7992
31	1497	7860
32	1531	7748
33	1577	7704
34	1625	7664
35	1674	7628
36	1720	7581
37	1784	7606
38	1815	7496
39	1849	7398
40	1880	7293
41	1927	7249
42	1974	7210
43	2022	7169
44	2069	7126
45	2100	7032
46	2131	6940
47	2162	6848
48	2211	6815
49	2244	6732
50	2291	6695
51	2321	6608
52	2353	6527
53	2400	6491
54	2463	6495
55	2510	6456
56	2546	6388
57	2575	6306
58	2606	6228
59	2652	6189
60	2701	6155
61	2750	6121
62	2797	6083
63	2829	6012
64	2875	5972
65	2909	5907
66	2943	5842
67	2969	5765
68	3000	5696
69	3047	5659
70	3092	5617
71	3154	5607
72	3202	5571
73	3234	5507
74	3265	5442
75	3295	5377
76	3343	5341
77	3375	5279
78	3408	5221
79	3455	5183
80	3501	5144
81	3536	5089
82	3565	5025
83	3613	4989
84	3644	4931
85	3691	4893
86	3753	4875
87	3787	4820
88	3819	4764
89	3883	4746
90	3914	4688
91	3963	4652
92	3994	4595
93	4038	4554
94	4069	4498
95	4117	4460
96	4179	4437
97	4227	4399
98	4257	4343
99	4288	4288
100	4335	4249
101	4382	4210
102	4444	4185
103	4478	4133
104	4509	4080
105	4556	4041
106	4588	3987
107	4620	3935
108	4668	3897
109	4716	3858
110	4775	3828
111	4824	3790
112	4871	3750
113	4903	3698
114	4944	3654
115	4968	3597
116	5001	3547
117	5029	3495
118	5076	3455
119	5123	3415
120	5156	3366
121	5188	3317
122	5220	3268
123	5253	3219
124	5282	3169
125	5329	3129
126	5377	3091
127	5424	3051
128	5500	3027
129	5532	2979
130	5580	2939
131	5646	2908
132	5676	2859
133	5740	2827
134	5785	2785
135	5834	2745
136	5882	2705
137	5928	2663
138	5959	2615
139	6006	2574
140	6054	2533
141	6076	2481
142	6134	2445
143	6165	2397
144	6197	2350
145	6229	2304
146	6261	2257
147	6293	2211
148	6338	2169
149	6386	2128
150	6449	2092
151	6512	2056
152	6559	2015
153	6608	1973
154	6639	1927
155	6684	1885
156	6746	1847
157	6778	1801
158	6799	1753
159	6825	1706
160	6872	1664
161	6905	1619
162	6937	1574
163	6971	1530
164	7015	1488
165	7063	1446
166	7127	1408
167	7160	1363
168	7206	1321
169	7239	1277
170	7284	1235
171	7331	1193
172	7379	1151
173	7441	1111
174	7505	1072
175	7550	1029
176	7598	987
177	7629	942
178	7661	898
179	7695	855
180	7739	812
181	7771	768
182	7804	724
183	7824	680
184	7866	637
185	7914	595
186	7934	551
187	7962	508
188	8025	467
189	8086	425
190	8117	382
191	8149	339
192	8198	297
193	8244	254
194	8292	212
195	8323	169
196	8371	127
197	8402	84
198	8434	42
199	8469	0
