iter	Logloss
0	0.4804516751
1	0.3980223804
2	0.367599511
3	0.3467019715
4	0.3336551125
5	0.3087045229
6	0.2820278693
7	0.2762080882
8	0.2672308379
9	0.2604115759
10	0.2448299785
11	0.2339388761
12	0.2238749225
13	0.1972221704
14	0.1891011639
15	0.1802659873
16	0.1716257325
17	0.1664211303
18	0.1616124745
19	0.1571100914
20	0.150796562
21	0.1466391616
22	0.1415374665
23	0.1303072134
24	0.1271882534
25	0.1241811722
26	0.1210328109
27	0.1168375944
28	0.1137361967
29	0.1088672288
30	0.1064458143
31	0.1043889724
32	0.0978813149
33	0.09591105543
34	0.0905252831
35	0.08845980041
36	0.08628241879
37	0.08478097431
38	0.0822396836
39	0.07784107521
40	0.07575750344
41	0.07419280792
42	0.07296931408
43	0.07176223514
44	0.07025039903
45	0.06937866554
46	0.06771591485
47	0.06696716256
48	0.06416690627
49	0.06080329591
50	0.05965941312
51	0.05675704523
52	0.05590816241
53	0.05504291371
54	0.05388598914
55	0.0525635075
56	0.05157466047
57	0.05109412452
58	0.05052881673
59	0.04796751417
60	0.04752959738
61	0.04654115581
62	0.04610544019
63	0.04550594588
64	0.04482480601
65	0.04422955825
66	0.04139300162
67	0.04095574615
68	0.0405259799
69	0.03994039295
70	0.03963955821
71	0.03935969452
72	0.03840392689
73	0.03707563315
74	0.03672409996
75	0.03622330507
76	0.03551008586
77	0.03500684233
78	0.03457611311
79	0.03360916624
80	0.03328483243
81	0.0330591532
82	0.03286311746
83	0.03227081744
84	0.03195523492
85	0.03149794081
86	0.03116373179
87	0.03080333455
88	0.03028744062
89	0.02894390921
90	0.02812991141
91	0.02767861302
92	0.02739183989
93	0.02703079937
94	0.02658996974
95	0.02611888227
96	0.02587319917
97	0.02568632208
98	0.02545036619
99	0.02515639906
100	0.02500809136
101	0.02401727889
102	0.02376433166
103	0.02334015681
104	0.0232058571
105	0.02303160236
106	0.02288175721
107	0.02277793529
108	0.02226002092
109	0.02209071064
110	0.0219438068
111	0.02175110464
112	0.02156711244
113	0.02136456937
114	0.02115330235
115	0.02089260684
116	0.02072977477
117	0.020576672
118	0.02048855746
119	0.02039315817
120	0.02029923885
121	0.02017887071
122	0.0200311972
123	0.01994392707
124	0.01973418894
125	0.019575369
126	0.01946419645
127	0.01928867784
128	0.0189577805
129	0.01841694116
130	0.01831456163
131	0.01819144932
132	0.01808402978
133	0.01784291473
134	0.01774762538
135	0.01764931481
136	0.01752843656
137	0.01737811726
138	0.01723613933
139	0.01705914329
140	0.01696572018
141	0.01685825083
142	0.01682965526
143	0.01663847947
144	0.01654143734
145	0.01639018451
146	0.0162776728
147	0.01615650559
148	0.01604594854
149	0.01594505752
150	0.01585446826
151	0.01568191446
152	0.01562968333
153	0.01513898672
154	0.01512999452
155	0.01500228709
156	0.0148478693
157	0.01441908479
158	0.01429191585
159	0.01373496281
160	0.01365586413
161	0.01344027008
162	0.01333464575
163	0.01327417429
164	0.01321953056
165	0.01313469452
166	0.01305942518
167	0.01296083516
168	0.01287710638
169	0.01281306264
170	0.01281201362
171	0.0127519916
172	0.0126969373
173	0.01263399666
174	0.01254297403
175	0.01250393651
176	0.01243607653
177	0.01242107681
178	0.01238061871
179	0.0123122986
180	0.01224228535
181	0.0122108386
182	0.01193421535
183	0.01187210609
184	0.01168444397
185	0.01164346348
186	0.01159453895
187	0.01155769292
188	0.0115279273
189	0.01148457446
190	0.01145324087
191	0.01138404784
192	0.01136314735
193	0.01130849946
194	0.01125508627
195	0.01104694707
196	0.01104684121
197	0.01104510552
198	0.01104470197
199	0.01090840005
