iter	Passed	Remaining
401	15125	22500
402	15162	22461
403	15200	22423
404	15238	22387
405	15274	22347
406	15312	22309
407	15348	22270
408	15385	22231
409	15421	22192
410	15457	22151
411	15493	22112
412	15531	22075
413	15568	22036
414	15606	21999
415	15646	21965
416	15683	21926
417	15720	21887
418	15758	21851
419	15794	21811
420	15831	21772
421	15867	21733
422	15903	21693
423	15940	21654
424	15976	21615
425	16014	21578
426	16051	21539
427	16086	21499
428	16123	21460
429	16159	21420
430	16198	21384
431	16234	21345
432	16270	21306
433	16306	21265
434	16342	21226
435	16382	21192
436	16432	21170
437	16470	21132
438	16509	21097
439	16546	21059
440	16584	21021
441	16622	20985
442	16660	20948
443	16698	20910
444	16734	20871
445	16771	20833
446	16808	20794
447	16847	20758
448	16884	20720
449	16922	20682
450	16958	20643
451	16994	20603
452	17031	20565
453	17068	20527
454	17107	20491
455	17145	20454
456	17180	20414
457	17216	20374
458	17254	20337
459	17291	20299
460	17329	20261
461	17369	20226
462	17405	20187
463	17443	20150
464	17484	20116
465	17520	20077
466	17558	20039
467	17596	20002
468	17633	19964
469	17669	19925
470	17706	19886
471	17742	19847
472	17779	19809
473	17815	19770
474	17852	19731
475	17889	19693
476	17926	19654
477	17962	19616
478	17999	19577
479	18036	19539
480	18073	19501
481	18108	19461
482	18146	19423
483	18183	19386
484	18223	19350
485	18259	19311
486	18298	19274
487	18334	19235
488	18371	19197
489	18409	19160
490	18446	19122
491	18482	19083
492	18518	19044
493	18554	19005
494	18591	18966
495	18628	18928
496	18665	18890
497	18701	18851
498	18737	18812
499	18774	18774
500	18811	18736
501	18849	18699
502	18885	18660
503	18925	18625
504	18962	18587
505	19000	18549
506	19036	18510
507	19073	18472
508	19110	18434
509	19147	18396
510	19184	18358
511	19221	18320
512	19258	18282
513	19294	18243
514	19329	18203
515	19366	18165
516	19403	18127
517	19438	18087
518	19475	18049
519	19511	18010
520	19548	17972
521	19586	17935
522	19621	17896
523	19657	17857
524	19696	17820
525	19731	17781
526	19770	17744
527	19809	17708
528	19847	17671
529	19883	17632
530	19919	17593
531	19955	17554
532	19993	17517
533	20030	17480
534	20066	17441
535	20103	17402
536	20140	17365
537	20178	17328
538	20214	17289
539	20251	17250
540	20287	17212
541	20324	17174
542	20361	17136
543	20398	17098
544	20436	17061
545	20472	17023
546	20509	16985
547	20547	16947
548	20584	16909
549	20620	16871
550	20657	16833
551	20694	16795
552	20731	16757
553	20766	16718
554	20806	16682
555	20842	16644
556	20882	16608
557	20919	16570
558	20955	16532
559	20992	16494
560	21029	16456
561	21066	16418
562	21102	16379
563	21140	16342
564	21177	16304
565	21214	16267
566	21253	16230
567	21293	16195
568	21331	16157
569	21367	16119
570	21405	16082
571	21442	16044
572	21478	16006
573	21516	15968
574	21553	15931
575	21589	15892
576	21625	15853
577	21661	15815
578	21699	15777
579	21735	15739
580	21772	15701
581	21809	15663
582	21845	15625
583	21881	15587
584	21918	15549
585	21957	15512
586	21993	15474
587	22029	15435
588	22067	15398
589	22104	15360
590	22141	15322
591	22178	15285
592	22216	15248
593	22253	15210
594	22290	15172
595	22326	15133
596	22362	15095
597	22398	15057
598	22451	15029
599	22486	14990
600	22522	14952
601	22559	14914
602	22595	14876
603	22633	14838
604	22672	14802
605	22713	14767
606	22753	14731
607	22792	14695
608	22829	14657
609	22866	14619
610	22905	14582
611	22942	14545
612	22979	14507
613	23017	14470
614	23054	14432
615	23091	14394
616	23128	14356
617	23168	14321
618	23207	14284
619	23243	14245
620	23280	14208
621	23317	14170
622	23354	14132
623	23391	14095
624	23429	14057
625	23475	14025
626	23513	13987
627	23551	13950
628	23592	13915
629	23632	13879
630	23669	13841
631	23706	13804
632	23747	13768
633	23786	13731
634	23823	13694
635	23859	13655
636	23898	13618
637	23937	13582
638	23975	13545
639	24012	13506
640	24050	13469
641	24087	13432
642	24124	13394
643	24161	13356
644	24200	13319
645	24235	13280
646	24273	13243
647	24311	13206
648	24348	13168
649	24383	13129
650	24421	13092
651	24460	13055
652	24500	13019
653	24540	12983
654	24576	12945
655	24614	12907
656	24652	12870
657	24689	12832
658	24726	12794
659	24764	12757
660	24800	12719
661	24837	12681
662	24874	12643
663	24912	12606
664	24949	12568
665	24990	12532
666	25026	12494
667	25064	12457
668	25102	12419
669	25138	12381
670	25177	12344
671	25214	12307
672	25251	12269
673	25287	12231
674	25324	12193
675	25360	12155
676	25396	12116
677	25434	12079
678	25471	12041
679	25510	12004
680	25548	11967
681	25587	11930
682	25624	11893
683	25660	11854
684	25698	11817
685	25736	11780
686	25772	11742
687	25809	11704
688	25846	11666
689	25883	11628
690	25922	11592
691	25962	11555
692	26001	11518
693	26038	11481
694	26076	11443
695	26112	11405
696	26147	11366
697	26191	11332
698	26228	11294
699	26267	11257
700	26303	11219
701	26339	11181
702	26376	11143
703	26413	11105
704	26450	11067
705	26487	11030
706	26525	10992
707	26561	10954
708	26599	10917
709	26638	10880
710	26674	10842
711	26711	10804
712	26748	10766
713	26784	10728
714	26820	10690
715	26858	10653
716	26896	10615
717	26933	10578
718	26970	10540
719	27006	10502
720	27044	10465
721	27081	10427
722	27118	10389
723	27154	10351
724	27192	10314
725	27230	10277
726	27266	10239
727	27302	10200
728	27338	10162
729	27375	10125
730	27412	10087
731	27451	10050
732	27488	10012
733	27527	9975
734	27562	9937
735	27598	9899
736	27636	9862
737	27672	9824
738	27709	9786
739	27748	9749
740	27786	9712
741	27826	9675
742	27864	9638
743	27903	9601
744	27939	9563
745	27975	9525
746	28012	9487
747	28055	9451
748	28094	9414
749	28131	9377
750	28169	9339
751	28205	9301
752	28242	9264
753	28281	9227
754	28323	9190
755	28360	9153
756	28396	9115
757	28433	9077
758	28470	9040
759	28506	9001
760	28545	8964
761	28583	8927
762	28620	8890
763	28659	8853
764	28700	8816
765	28737	8778
766	28775	8741
767	28811	8703
768	28848	8665
769	28884	8627
770	28921	8590
771	28960	8553
772	28998	8515
773	29034	8477
774	29070	8439
775	29107	8402
776	29144	8364
777	29184	8327
778	29221	8289
779	29258	8252
780	29295	8214
781	29330	8176
782	29367	8139
783	29406	8101
784	29443	8064
785	29480	8026
786	29518	7989
787	29555	7951
788	29593	7914
789	29641	7879
790	29679	7842
791	29715	7804
792	29751	7766
793	29787	7728
794	29825	7690
795	29861	7652
796	29898	7615
797	29936	7577
798	29973	7540
799	30009	7502
800	30045	7464
801	30080	7426
802	30119	7389
803	30156	7351
804	30194	7314
805	30230	7276
806	30268	7238
807	30305	7201
808	30342	7163
809	30381	7126
810	30418	7088
811	30457	7051
812	30497	7014
813	30533	6977
814	30572	6939
815	30609	6902
816	30649	6865
817	30687	6827
818	30724	6790
819	30761	6752
820	30799	6715
821	30836	6677
822	30872	6639
823	30909	6601
824	30946	6564
825	30983	6526
826	31022	6489
827	31059	6451
828	31095	6414
829	31132	6376
830	31169	6338
831	31207	6301
832	31247	6264
833	31286	6227
834	31326	6190
835	31365	6153
836	31406	6116
837	31445	6078
838	31483	6041
839	31520	6003
840	31561	5966
841	31602	5930
842	31642	5893
843	31681	5855
844	31719	5818
845	31755	5780
846	31792	5742
847	31829	5705
848	31868	5668
849	31906	5630
850	31945	5593
851	31981	5555
852	32018	5517
853	32055	5480
854	32091	5442
855	32131	5405
856	32169	5367
857	32209	5330
858	32245	5292
859	32281	5255
860	32319	5217
861	32356	5180
862	32395	5142
863	32432	5105
864	32471	5067
865	32509	5030
866	32545	4992
867	32582	4954
868	32620	4917
869	32661	4880
870	32700	4843
871	32737	4805
872	32775	4767
873	32814	4730
874	32851	4693
875	32890	4655
876	32929	4618
877	32966	4580
878	33004	4543
879	33042	4505
880	33079	4468
881	33117	4430
882	33156	4393
883	33194	4355
884	33234	4318
885	33272	4281
886	33309	4243
887	33344	4205
888	33381	4167
889	33417	4130
890	33453	4092
891	33493	4055
892	33529	4017
893	33567	3979
894	33603	3942
895	33640	3904
896	33677	3867
897	33715	3829
898	33754	3792
899	33790	3754
900	33828	3717
901	33865	3679
902	33904	3641
903	33945	3604
904	33987	3567
905	34025	3530
906	34063	3492
907	34100	3455
908	34138	3417
909	34174	3379
910	34213	3342
911	34251	3305
912	34286	3267
913	34322	3229
914	34360	3191
915	34397	3154
916	34438	3117
917	34475	3079
918	34512	3041
919	34550	3004
920	34608	2968
921	34650	2931
922	34688	2893
923	34726	2856
924	34763	2818
925	34811	2781
926	34850	2744
927	34887	2706
928	34926	2669
929	34964	2631
930	35001	2594
931	35041	2556
932	35080	2519
933	35118	2481
934	35156	2444
935	35193	2406
936	35229	2368
937	35266	2331
938	35306	2293
939	35343	2255
940	35382	2218
941	35418	2180
942	35456	2143
943	35494	2105
944	35532	2068
945	35569	2030
946	35607	1992
947	35642	1955
948	35679	1917
949	35717	1879
950	35754	1842
951	35794	1804
952	35831	1767
953	35868	1729
954	35904	1691
955	35941	1654
956	35982	1616
957	36019	1579
958	36056	1541
959	36092	1503
960	36130	1466
961	36167	1428
962	36205	1391
963	36244	1353
964	36282	1315
965	36320	1278
966	36357	1240
967	36395	1203
968	36434	1165
969	36471	1127
970	36509	1090
971	36549	1052
972	36586	1015
973	36625	977
974	36664	940
975	36702	902
976	36740	864
977	36775	827
978	36811	789
979	36847	751
980	36886	714
981	36922	676
982	36959	639
983	36996	601
984	37034	563
985	37073	526
986	37110	488
987	37148	451
988	37183	413
989	37220	375
990	37258	338
991	37298	300
992	37336	263
993	37372	225
994	37407	187
995	37443	150
996	37482	112
997	37519	75
998	37557	37
999	37594	0
