iter	Logloss	Accuracy
208	0.008741593361	1
209	0.008602114916	1
210	0.008411210775	1
211	0.008409374356	1
212	0.008405672312	1
213	0.008391042948	1
214	0.008375183344	1
215	0.008344117403	1
216	0.008343391418	1
217	0.008328858018	1
218	0.008202235699	1
219	0.007991918325	1
220	0.007979803085	1
221	0.007962675691	1
222	0.007780020237	1
223	0.007774027586	1
224	0.00776882112	1
225	0.00759753108	1
226	0.007594407797	1
227	0.007589677572	1
228	0.007585388422	1
229	0.00749890089	1
230	0.007491673231	1
231	0.007489800453	1
232	0.007432590723	1
233	0.007422538996	1
234	0.007417854071	1
235	0.007391373515	1
236	0.00738886714	1
237	0.00738332212	1
238	0.007374945283	1
239	0.007374531031	1
240	0.007373887897	1
241	0.007370277643	1
242	0.007189310789	1
243	0.007185200453	1
244	0.007184495926	1
245	0.007182498574	1
246	0.007179213762	1
247	0.007167695761	1
248	0.007137532234	1
249	0.007052739859	1
250	0.007015748024	1
251	0.006982552409	1
252	0.006977062821	1
253	0.006923398376	1
254	0.006907712221	1
255	0.00689281404	1
256	0.006682146788	1
257	0.006656581759	1
258	0.006635918617	1
259	0.006453768015	1
260	0.006442984343	1
261	0.006429626942	1
262	0.006422029734	1
263	0.006417899132	1
264	0.00640606761	1
265	0.006402670145	1
266	0.006383185387	1
267	0.006292473078	1
268	0.006289429665	1
269	0.006214755774	1
270	0.006208964586	1
271	0.006121865511	1
272	0.006118559837	1
273	0.006097292304	1
274	0.006077916622	1
275	0.006074321866	1
276	0.005974402428	1
277	0.005959181786	1
278	0.005941330194	1
279	0.005929253101	1
280	0.005916538239	1
281	0.005916110873	1
282	0.005911768675	1
283	0.005906826854	1
284	0.005820689797	1
285	0.005804246664	1
286	0.005792025924	1
287	0.005791347623	1
288	0.00579107523	1
289	0.005789585114	1
290	0.005788766146	1
291	0.005756875873	1
292	0.005756424069	1
293	0.005756152868	1
294	0.005733604431	1
295	0.005730659366	1
296	0.005721519589	1
297	0.005718873143	1
298	0.005704264641	1
