iter	Passed	Remaining
0	55	11115
1	87	8647
2	132	8672
3	161	7929
4	210	8214
5	269	8707
6	302	8334
7	349	8398
8	398	8461
9	444	8451
10	492	8463
11	541	8483
12	576	8291
13	655	8715
14	719	8869
15	767	8825
16	812	8745
17	881	8915
18	907	8646
19	954	8590
20	1015	8655
21	1076	8712
22	1108	8533
23	1155	8475
24	1190	8332
25	1220	8169
26	1267	8123
27	1334	8195
28	1363	8041
29	1393	7897
30	1424	7767
31	1471	7727
32	1503	7607
33	1535	7494
34	1568	7396
35	1614	7354
36	1661	7319
37	1709	7286
38	1756	7249
39	1818	7274
40	1878	7286
41	1910	7186
42	1958	7150
43	2005	7110
44	2052	7069
45	2099	7029
46	2146	6986
47	2208	6993
48	2241	6906
49	2271	6815
50	2303	6730
51	2336	6648
52	2402	6663
53	2445	6612
54	2479	6536
55	2525	6494
56	2556	6414
57	2587	6334
58	2635	6298
59	2693	6285
60	2731	6223
61	2776	6179
62	2838	6171
63	2871	6101
64	2919	6062
65	2949	5987
66	2996	5948
67	3046	5913
68	3093	5872
69	3138	5828
70	3201	5816
71	3235	5751
72	3265	5681
73	3321	5655
74	3358	5597
75	3408	5560
76	3453	5517
77	3500	5475
78	3548	5434
79	3581	5372
80	3627	5329
81	3676	5290
82	3739	5271
83	3772	5209
84	3822	5171
85	3854	5109
86	3916	5086
87	3947	5024
88	4009	5000
89	4057	4959
90	4096	4906
91	4135	4854
92	4198	4830
93	4244	4786
94	4305	4758
95	4369	4733
96	4401	4673
97	4449	4631
98	4498	4589
99	4542	4542
100	4591	4500
101	4622	4441
102	4655	4383
103	4702	4340
104	4749	4297
105	4798	4254
106	4847	4213
107	4895	4170
108	4926	4112
109	4959	4058
110	4990	4001
111	5021	3945
112	5085	3915
113	5117	3860
114	5194	3839
115	5241	3795
116	5303	3762
117	5351	3718
118	5399	3675
119	5440	3627
120	5463	3566
121	5495	3513
122	5542	3469
123	5574	3416
124	5607	3364
125	5653	3320
126	5702	3277
127	5750	3234
128	5813	3199
129	5847	3148
130	5903	3109
131	5974	3077
132	6036	3041
133	6071	2990
134	6095	2934
135	6143	2891
136	6204	2853
137	6268	2816
138	6313	2770
139	6376	2732
140	6409	2682
141	6440	2630
142	6474	2580
143	6532	2540
144	6581	2496
145	6611	2445
146	6642	2395
147	6674	2344
148	6720	2300
149	6752	2250
150	6799	2206
151	6832	2157
152	6882	2114
153	6927	2069
154	6958	2020
155	7022	1980
156	7054	1932
157	7103	1888
158	7140	1841
159	7191	1797
160	7261	1758
161	7307	1714
162	7339	1666
163	7386	1621
164	7448	1579
165	7507	1537
166	7541	1490
167	7606	1448
168	7652	1403
169	7700	1358
170	7764	1316
171	7804	1270
172	7838	1223
173	7904	1181
174	7952	1136
175	8016	1093
176	8049	1045
177	8099	1001
178	8128	953
179	8159	906
180	8190	859
181	8237	814
182	8280	769
183	8315	723
184	8346	676
185	8392	631
186	8440	586
187	8487	541
188	8550	497
189	8598	452
190	8630	406
191	8677	361
192	8710	315
193	8742	270
194	8773	224
195	8804	179
196	8835	134
197	8882	89
198	8916	44
199	8949	0
